p_date,statewideIC,NA2,IndustryIC,soc2,occupationIC,sex,sexIC,Eth,Race2,raceIC,agecat,ageIC
4-Mar-20,841,,,,,,,,,,,
4-Mar-20,,UN,138,,,,,,,,,
4-Mar-20,,11,35,,,,,,,,,
4-Mar-20,,21,26,,,,,,,,,
4-Mar-20,,23,255,,,,,,,,,
4-Mar-20,,31,5,,,,,,,,,
4-Mar-20,,32,18,,,,,,,,,
4-Mar-20,,33,14,,,,,,,,,
4-Mar-20,,42,12,,,,,,,,,
4-Mar-20,,44,55,,,,,,,,,
4-Mar-20,,45,15,,,,,,,,,
4-Mar-20,,48,25,,,,,,,,,
4-Mar-20,,49,3,,,,,,,,,
4-Mar-20,,51,5,,,,,,,,,
4-Mar-20,,52,8,,,,,,,,,
4-Mar-20,,53,11,,,,,,,,,
4-Mar-20,,54,19,,,,,,,,,
4-Mar-20,,55,2,,,,,,,,,
4-Mar-20,,56,52,,,,,,,,,
4-Mar-20,,61,3,,,,,,,,,
4-Mar-20,,62,39,,,,,,,,,
4-Mar-20,,71,10,,,,,,,,,
4-Mar-20,,72,50,,,,,,,,,
4-Mar-20,,81,10,,,,,,,,,
4-Mar-20,,92,18,,,,,,,,,
4-Mar-20,,99,13,,,,,,,,,
4-Mar-20,,,,UN,144,,,,,,,
4-Mar-20,,,,11,39,,,,,,,
4-Mar-20,,,,13,7,,,,,,,
4-Mar-20,,,,15,6,,,,,,,
4-Mar-20,,,,17,6,,,,,,,
4-Mar-20,,,,19,13,,,,,,,
4-Mar-20,,,,21,7,,,,,,,
4-Mar-20,,,,23,2,,,,,,,
4-Mar-20,,,,25,6,,,,,,,
4-Mar-20,,,,27,7,,,,,,,
4-Mar-20,,,,29,6,,,,,,,
4-Mar-20,,,,31,10,,,,,,,
4-Mar-20,,,,33,11,,,,,,,
4-Mar-20,,,,35,33,,,,,,,
4-Mar-20,,,,37,22,,,,,,,
4-Mar-20,,,,39,9,,,,,,,
4-Mar-20,,,,41,41,,,,,,,
4-Mar-20,,,,43,44,,,,,,,
4-Mar-20,,,,45,30,,,,,,,
4-Mar-20,,,,47,219,,,,,,,
4-Mar-20,,,,49,51,,,,,,,
4-Mar-20,,,,51,45,,,,,,,
4-Mar-20,,,,53,83,,,,,,,
4-Mar-20,,,,,,U,46,,,,,
