Initial Unemployment Insurance Claims by Age,,,,
,Week ending,,,
Age,3/21/20,3/28/20,4/4/20,4/11/20
Less than 22 years old,967,"1,533","1,793","1,097"
22-24 Years old,"1,758","2,447","2,184","1,404"
25-34 Years old,"4,926","6,744","6,498","3,908"
35-44 Years old,"3,200","5,148","5,565","3,069"
45-54 Years old,"1,945","3,388","4,149","2,454"
55-59 Years old,791,"1,622","1,973","1,239"
60-64 Years old,701,"1,432","1,714","1,036"
65 Plus years old,518,"1,339","1,941","1,124"
Unknown,860,880,722,613
,,,,
,,,,
