Initial Unemployment Insurance Claims by Occupation,,,,,
SOC Code,Occupation Title,Week ending,,,
,,3/21/20,3/28/20,4/4/20,4/11/20
412031,Retail Salespersons,251,612,984,794
395012,"Hairdressers, Hairstylists, and Cosmetologists",432,"1,276","1,268",554
412011,Cashiers,268,501,604,423
399011,Childcare Workers,299,673,699,410
353031,Waiters and Waitresses,"2,050","1,341",794,352
434051,Customer Service Representatives,212,422,492,335
353011,Bartenders,980,631,445,224
519199,"Production Workers, All Other ",73,264,236,224
119199,"Managers, All Other ",211,354,357,206
435081,Stock Clerks and Order Fillers,80,204,262,199
537062,"Laborers and Freight, Stock, and Material Movers, Hand",122,224,265,191
411011,First-Line Supervisors of Retail Sales Workers,103,249,400,186
352014,"Cooks, Restaurant",602,571,365,182
395092,Manicurists and Pedicurists,38,222,526,179
533031,Driver/Sales Workers,104,258,307,178
112022,Sales Managers,128,224,256,168
372012,Maids and Housekeeping Cleaners,136,260,272,162
372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",73,158,199,146
434171,Receptionists and Information Clerks,143,286,279,146
291141,Registered Nurses,24,120,161,143
413099,"Sales Representatives, Services, All Other",75,145,213,140
111021,General and Operations Managers,210,220,252,130
436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",64,152,216,129
353021,"Combined Food Preparation and Serving Workers, Including Fast Food",182,306,261,123
311014,Nursing Assistants,58,94,170,120
499071,"Maintenance and Repair Workers, General",90,156,173,115
533032,Heavy and Tractor-Trailer Truck Drivers,69,144,161,113
352021,Food Preparation Workers,131,194,157,111
472061,Construction Laborers,75,122,180,109
259041,Teacher Assistants ,166,205,223,105
519198,Helpers--Production Workers,42,79,82,103
119051,Food Service Managers,211,210,170,100
512099,"Assemblers and Fabricators, All Other",28,149,176,97
439061,"Office Clerks, General",59,144,112,96
353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",110,175,146,94
151199,"Computer Occupations, All Other ",28,70,98,92
319091,Dental Assistants,299,512,346,92
472111,Electricians,48,226,178,91
419022,Real Estate Sales Agents,5,26,168,90
434081,"Hotel, Motel, and Resort Desk Clerks",108,192,152,87
351011,Chefs and Head Cooks,244,202,136,81
319092,Medical Assistants,24,63,106,77
414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",23,68,96,75
419099,"Sales and Related Workers, All Other",41,73,115,75
433031,"Bookkeeping, Accounting, and Auditing Clerks",56,89,141,75
292081,"Opticians, Dispensing",21,77,124,72
359021,Dishwashers,164,169,108,72
472031,Carpenters,33,73,127,72
351012,First-Line Supervisors of Food Preparation and Serving Workers,215,184,159,71
319011,Massage Therapists,78,158,173,70
352012,"Cooks, Institution and Cafeteria",168,157,119,70
493023,Automotive Service Technicians and Mechanics,25,94,106,68
399021,Personal Care Aides,31,54,90,66
395011,Barbers,15,112,140,65
339032,Security Guards,34,67,68,64
512092,Team Assemblers,22,92,118,64
253099,"Teachers and Instructors, All Other ",74,128,125,63
352011,"Cooks, Fast Food",55,95,96,63
311011,Home Health Aides,36,61,84,62
113011,Administrative Services Managers ,77,167,148,61
291021,"Dentists, General",44,111,135,61
511011,First-Line Supervisors of Production and Operating Workers,29,68,82,61
