,Week 3,3/15 - 3/21,,Week 4,3/22 - 3/28,,Week 5,3/29 - 4/4,,Week 6,4/5 - 4/11
,Claims,Percentage of initial claims,,Claims,Percentage of initial claims,,Claims,Percentage of initial claims,,Claims,Percentage of initial claims
Unknown School,1178,0.026415517,,2222,0.020411163,,2434,0.016822753,,2549,0.024796443
Some School,531,0.011907164,,1780,0.016350976,,2980,0.020596468,,2313,0.022500657
Some High School,2524,0.056598273,,7301,0.067066561,,10324,0.071355013,,8041,0.078222127
High School Diploma,16802,0.376768696,,43762,0.401995187,,55041,0.380419532,,39826,0.387423758
Some College / Associates Degree,14555,0.326381881,,33412,0.306920689,,41394,0.286097384,,27767,0.270114887
Bachelors Degree,7269,0.163000336,,15908,0.146129963,,24212,0.167342848,,16464,0.160160316
Some Graduate School,2,4.48481E-05,,4,3.67438E-05,,6,4.14694E-05,,5,4.86396E-05
Post Graduate Degree,1734,0.038883283,,4473,0.041088718,,8294,0.057324533,,5832,0.056733173
,,,,,,,,,,,
Some School,3055,0.068505438,,9081,0.083417538,,13304,0.091951481,,10354,0.100722784
Some School + Some High School,,,,,,,,,,,
,,,,,,,,,,,
Some College,,,,,,,,,,,
Some College / Associates Degree,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,3/15 - 3/21,3/22 - 3/28,3/29 - 4/4,4/5 - 4/11,,,,,,,
Unknown School,2.6%,2.0%,1.7%,2.5%,,,,,,,
Some School,6.9%,8.3%,9.2%,10.1%,,,,,,,
High School Diploma,37.7%,40.2%,38.0%,38.7%,,,,,,,
Some College,32.6%,30.7%,28.6%,27.0%,,,,,,,
Bachelors Degree,16.3%,14.6%,16.7%,16.0%,,,,,,,
Post Graduate Degree,3.9%,4.1%,5.7%,5.7%,,,,,,,
