,Week 3,3/15 - 3/21,,Week 4,3/22 - 3/28,,Week 5,3/29 - 4/4,,Week 6,4/5 - 4/11
,Claims,Percentage of initial claims,,Claims,Percentage of initial claims,,Claims,Percentage of initial claims,,Claims,Percentage of initial claims
White,28607,0.641484471,,66324,0.609248406,,82136,0.567688427,,56517,0.549792309
Black,9971,0.223590089,,25022,0.229850637,,31792,0.219732522,,24860,0.241835851
Spanish,111,0.002489068,,212,0.00194742,,201,0.001389225,,211,0.002052589
American Indian,203,0.00455208,,464,0.004262277,,613,0.00423679,,430,0.004183001
Asian Pacific,1811,0.040609934,,6937,0.063722879,,17346,0.119888033,,11707,0.113884646
NW-Other,281,0.006301155,,602,0.005529937,,739,0.005107648,,721,0.007013823
Unknown,3611,0.080973203,,9301,0.085438445,,11858,0.081957356,,8351,0.081237779
,,,,,,,,,,,
Other,595,0.013342303,,1278,0.011739634,,1553,0.010733663,,1362,0.013249414
Spanish + American Indian + NW-Other,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,3/15 - 3/21,3/22 - 3/28,3/29 - 4/4,4/5 - 4/11,,,,,,,
White,64.1%,60.9%,56.8%,55.0%,,,,,,,
Black,22.4%,23.0%,22.0%,24.2%,,,,,,,
Asian Pacific,4.1%,6.4%,12.0%,11.4%,,,,,,,
Unknown,8.1%,8.5%,8.2%,8.1%,,,,,,,
Other,1.3%,1.2%,1.1%,1.3%,,,,,,,
