state,rptdate,sex_male,sex_female,sex_ina,eth_latinx,eth_not_latinx,eth_ina,race_native_alaskan,race_asian,race_black,race_hawaiian_pi,race_white,race_ina,age_under_22,age_22_24,age_24_under,age_25_34,age_35_44,age_45_54,age_55_64,age_55_59,age_60_64,age_65_over,age_ina,industry_ag_forest_fish_hunt,industry_mining,industry_utilities,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transport_warehouse,industry_information,industry_finance_insurance,industry_real_estate,industry_prof_scientific_tech_services,industry_management_of_cos_ent,industry_admin_support_wastemgmt_remedial,industry_educational_services,industry_healthcare_social_assistance,industry_arts_ent_rec,industry_accomodation_food,industry_other_services_excl_public_admin,industry_public_admin,industry_ina,occ_mgmt,occ_bussiness_financial_operations,occ_computer_math,occ_architecture_engineering,occ_life_physical_social_sciences,occ_communinity_social_services,occ_legal,occ_educational_library,occ_arts_design_ent_sports_media,occ_healthcare_practitioners_technical,occ_healthcare_support,occ_protective_sevice,occ_food_prep_serving,occ_building_grounds_cleaning_maintenance,occ_personal_care_service,occ_sales_related,occ_office_admin_support,occ_farming_fishing_forestry,occ_construction_extraction,occ_installation_maintenance_repair,occ_production,occ_transportation_material_moving,occ_military,occ_ina,raceeth_latinx_native,raceeth_latinx_other,raceeth_latinx_unknown,raceeth_latinx_white,raceeth_not_latinx_native,raceeth_not_latinx_other,raceeth_not_latinx_unknown,raceeth_not_latinx_white,raceeth_unknown_native,raceeth_unknown_other,raceeth_ina,raceeth_unknown_white,racecombined_native_alaskan,racecombined_asian,racecombined_black,racecombined_latinx,racecombined_hawaiian_pi,racecombined_ina,racecombined_white,racecombined_asian_pi
ID,3/7/20,684,263,0,0,0,0,0,0,0,0,0,0,0,0,112,207,179,197,0,113,76,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,3/14/20,636,310,0,0,0,0,0,0,0,0,0,0,0,0,96,227,208,179,0,117,73,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,3/21/20,4801,7484,0,0,0,0,0,0,0,0,0,0,0,0,2611,3839,2421,1551,0,718,569,564,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,3/28/20,11225,15955,0,0,0,0,0,0,0,0,0,0,0,0,5712,7716,5489,4011,0,1826,1332,1060,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,4/4/20,10350,11766,0,0,0,0,0,0,0,0,0,0,0,0,4476,5933,4341,3470,0,1619,1244,968,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,4/11/20,5947,6746,0,0,0,0,0,0,0,0,0,0,0,0,2667,3269,2334,2025,0,971,723,642,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,3/21/20,43385,73574,0,0,0,0,0,0,0,0,0,0,0,0,20416,36484,25211,16233,13915,0,0,4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,733,310,208,69,527,91,2773,2026,6014,4117,336,37022,1623,8481,6298,5376,121,3066,1222,1807,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,4468,5916,5820,202,8197,91105,0
MN,3/28/20,51002,60568,0,0,0,0,0,0,0,0,0,0,0,0,17913,29316,23161,17820,17376,0,0,5987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,465,263,284,10,225,66,880,571,796,1188,142,4404,839,981,2875,2911,146,3516,1468,2713,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,5521,8304,5781,165,7139,83646,0
MN,4/4/20,56203,57140,0,0,0,0,0,0,0,0,0,0,0,0,15142,26245,23681,19918,20540,0,0,7820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,621,392,358,46,222,98,679,862,683,1155,140,2393,953,792,3460,2789,161,3465,1485,3121,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,5928,8786,5187,191,6886,85090,0
MN,4/11/20,44860,48689,0,0,0,0,0,0,0,0,0,0,0,0,13745,21975,19212,15780,16339,0,0,6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,513,363,316,11,304,89,605,745,738,1221,155,2311,850,1065,2885,2163,171,2638,1017,2807,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,5437,8777,4651,143,5869,66819,0
NM,3/7/20,5684,3855,0,5301,3542,696,1110,57,278,24,5418,2652,297,441,0,2245,2097,1937,0,1066,888,568,0,1146,312,14,1606,470,232,836,239,673,191,113,464,17,875,165,727,171,572,207,261,248,834,256,131,138,164,84,47,112,260,176,200,256,314,201,275,539,1199,1154,1345,410,733,698,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,3/14/20,5531,3825,0,5212,3479,665,1089,51,275,27,5298,2616,285,438,0,2146,2064,1915,0,1061,877,570,0,1141,307,18,1565,473,230,847,239,600,190,109,457,20,856,165,711,172,562,198,266,230,846,267,129,139,156,85,42,106,250,166,189,231,312,189,267,547,1198,1136,1295,408,714,668,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,3/21/20,5647,3980,0,5376,3571,680,1087,56,290,28,5494,2672,311,439,0,2220,2133,1968,0,1086,891,579,0,1134,319,20,1598,469,238,878,262,610,191,120,470,24,912,173,735,175,591,214,264,230,876,269,137,145,165,85,42,137,259,184,187,247,338,184,270,567,1244,1135,1309,416,710,705,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,3/28/20,10443,12055,0,12087,9008,1403,2065,286,645,80,14223,5199,1690,2001,0,6715,4708,3437,0,1728,1323,896,0,1148,459,32,1835,904,372,2051,498,1012,240,272,759,35,1710,529,2540,866,5612,921,373,330,1938,426,182,160,187,152,52,606,570,715,887,340,5276,409,1153,1407,2408,1133,1569,644,1153,1118,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
