State,State Name,Report Date,Monthly or Weekly Report,Before or After Earliest Closure Date,Total Claims,Group,Measure,Measure Total,Measure % Total,Measure 25-Yr Median % for Month,Difference From Median %,Measure 25-Yr Min % for Month,Measure 25-Yr Max % for Month,Group # Missing,Group % Missing,Date School Closures,Date Dine-in Service Closures,Date Stay-in-Place Order
ID,Idaho,2020-03-07,Weekly,Before,947,Sex,Male,684,0.72,0.7,2,0.66,0.74,0,0,2020-03-23,2020-03-25,2020-03-19
ID,Idaho,2020-03-14,Weekly,Before,946,Sex,Male,636,0.67,0.7,-3,0.66,0.74,0,0,2020-03-23,2020-03-25,2020-03-19
ID,Idaho,2020-03-21,Weekly,After,12285,Sex,Male,4801,0.39,0.7,-31,0.66,0.74,0,0,2020-03-23,2020-03-25,2020-03-19
ID,Idaho,2020-03-28,Weekly,After,27180,Sex,Male,11225,0.41,0.7,-29,0.66,0.74,0,0,2020-03-23,2020-03-25,2020-03-19
ID,Idaho,2020-04-04,Weekly,After,22116,Sex,Male,10350,0.47,0.66,-19,0.62,0.72,0,0,2020-03-23,2020-03-25,2020-03-19
ID,Idaho,2020-04-11,Weekly,After,12693,Sex,Male,5947,0.47,0.66,-19,0.62,0.72,0,0,2020-03-23,2020-03-25,2020-03-19
MN,Minnesota,2020-03-21,Weekly,After,116959,Sex,Male,43385,0.37,0.76,-39,0.71,0.79,0,0,2020-03-15,2020-03-25,2020-03-25
MN,Minnesota,2020-03-28,Weekly,After,111570,Sex,Male,51002,0.46,0.76,-30,0.71,0.79,0,0,2020-03-15,2020-03-25,2020-03-25
MN,Minnesota,2020-04-04,Weekly,After,113343,Sex,Male,56203,0.5,0.72,-23,0.66,0.77,0,0,2020-03-15,2020-03-25,2020-03-25
MN,Minnesota,2020-04-11,Weekly,After,93549,Sex,Male,44860,0.48,0.72,-24,0.66,0.77,0,0,2020-03-15,2020-03-25,2020-03-25
NM,New Mexico,2020-03-07,Weekly,Before,9539,Sex,Male,5684,0.6,0.61,-1,0.56,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
NM,New Mexico,2020-03-14,Weekly,Before,9356,Sex,Male,5531,0.59,0.61,-2,0.56,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
NM,New Mexico,2020-03-21,Weekly,After,9627,Sex,Male,5647,0.59,0.61,-2,0.56,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
NM,New Mexico,2020-03-28,Weekly,After,22498,Sex,Male,10443,0.46,0.61,-15,0.56,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
NM,New Mexico,2020-04-04,Weekly,After,39232,Sex,Male,17857,0.46,0.6,-15,0.55,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
NM,New Mexico,2020-04-11,Weekly,After,56641,Sex,Male,25676,0.45,0.6,-15,0.55,0.69,0,0,2020-03-16,2020-03-23,2020-03-23
ND,North Dakota,2020-03-07,Weekly,Before,517,Sex,Male,420,0.81,0.83,-2,0.8,0.87,0,0,2020-03-15,2020-03-19,2020-03-27
ND,North Dakota,2020-03-14,Weekly,Before,521,Sex,Male,425,0.82,0.83,-2,0.8,0.87,0,0,2020-03-15,2020-03-19,2020-03-27
ND,North Dakota,2020-03-21,Weekly,After,5976,Sex,Male,2686,0.45,0.83,-38,0.8,0.87,0,0,2020-03-15,2020-03-19,2020-03-27
ND,North Dakota,2020-03-28,Weekly,After,12591,Sex,Male,5893,0.47,0.83,-37,0.8,0.87,1,0,2020-03-15,2020-03-19,2020-03-27
ND,North Dakota,2020-04-04,Weekly,After,16167,Sex,Male,7923,0.49,0.77,-28,0.68,0.84,1,0,2020-03-15,2020-03-19,2020-03-27
ND,North Dakota,2020-04-11,Weekly,After,10504,Sex,Male,6178,0.59,0.77,-18,0.68,0.84,1,0,2020-03-15,2020-03-19,2020-03-27
OR,Oregon,2020-03-07,Weekly,Before,3896,Sex,Male,2042,0.65,0.62,3,0.59,0.68,760,0.2,2020-03-12,2020-03-17,2020-03-23
OR,Oregon,2020-03-14,Weekly,After,4023,Sex,Male,1997,0.63,0.62,1,0.59,0.68,876,0.22,2020-03-12,2020-03-17,2020-03-23
OR,Oregon,2020-03-21,Weekly,After,21311,Sex,Male,6065,0.46,0.62,-16,0.59,0.68,8177,0.38,2020-03-12,2020-03-17,2020-03-23
OR,Oregon,2020-03-28,Weekly,After,45816,Sex,Male,12387,0.49,0.62,-13,0.59,0.68,20709,0.45,2020-03-12,2020-03-17,2020-03-23
OR,Oregon,2020-04-04,Weekly,After,54558,Sex,Male,14602,0.52,0.61,-10,0.58,0.67,26305,0.48,2020-03-12,2020-03-17,2020-03-23
